"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"22545",14,"M","Village","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",6,246.22,9650.67,21,631.39,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",317,128
"22546",25,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",9,1137.62,34657.06,25,512.58,"No","Yes","No","Not Applicable","No reason specified","5",898,215
"22547",42,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Mobile_Data",3,30.01,7876.19,53.26179301964,756.57,"Yes","No","Yes","Solved","Poor Product Quality","3",218,53
"22553",64,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",6,225.33,31528.92,10,805.3,"Yes","No","No","Not Applicable","Products always in Stock","1",1087,128
"22555",11,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",11,163.7,37806.2,25,672.56,"No","Yes","No","Not Applicable","Poor Website","5",1004,261
"22556",25,"F","Town","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",19,170.01,1662.38,16,698.48,"Yes","No","No","Not Applicable","Too many ads","5",791,438
"22558",51,"M","Town","Premium Membership","No","Without Offers","Desktop","Mobile_Data",9,292.9,31127.74,10,1061.9070030039,"No","Yes","Yes","No Information Available","No reason specified","3",709,207
"22559",61,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",12,755.85,13344.79,20,690.06,"No","Yes","Yes","Solved","No reason specified","4",362,268
"22560",20,"F","City","Premium Membership","Yes","Without Offers","Smartphone","Wi-Fi",20,170.88,10549.07,19,745.48,"No","Yes","No","Not Applicable","Poor Product Quality","3",637,465
"22561",38,"F","City","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",20,1354.84727252509,31321.12,10,725.54,"Yes","Yes","Yes","Solved","Poor Website","3",359,461
"22565",48,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",22,137.02,46502.05,10,748.67,"Yes","No","Yes","Solved","Poor Website","3",786,519
"22566",31,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",4,30.87,10486.84,13,240.562583596413,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","5",517,89
"22568",22,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",11,266.61,39316.7,11,502.92,"Yes","Yes","No","Not Applicable","Too many ads","5",939,243
"22569",62,"F","City","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",7,237.37,39837.78,25,676.57,"Yes","Yes","No","Not Applicable","Poor Customer Service","4",947,158
"22570",62,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",11,129.78,34691.7,9,509.01,"No","Yes","No","Not Applicable","No reason specified","5",903,243
"22571",38,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",20,522.85,45683.72,13,662.92,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",962,471
"22574",58,"M","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",19,214.91,21187.39,22,643.97,"Yes","No","Yes","Unsolved","Poor Website","4",150,446
"22575",29,"F","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,161.2,9315.9,21,709.82,"Yes","No","Yes","Solved","No reason specified","3",186,315
"22578",63,"F","Town","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",21,86.29,47667.64,13,604.8,"No","Yes","Yes","Solved","No reason specified","5",95,486
"22580",21,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",19,351.42,34962.37,26,740.36,"No","Yes","Yes","Solved in Follow-up","Poor Website","3",931,434
"22581",36,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",17,110.6,35047.5,7,762.94,"No","Yes","Yes","Solved","No reason specified","3",477,408
"22587",22,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",5,288.99,41781.76,21,902.657376892079,"Yes","Yes","No","Not Applicable","Poor Website","4",162,99
"22588",51,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",21,975.403600233255,39005.93,15,597.87,"No","Yes","Yes","Solved","Poor Customer Service","5",478,492
"22590",53,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",10,169.85,41435.38,15,753.07,"Yes","No","Yes","Solved in Follow-up","Too many ads","3",752,224
"22592",33,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",14,222.6,6514.29,6,715.49,"No","Yes","Yes","Unsolved","Poor Product Quality","4",84,314
"22593",47,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",9,183.07,49547.42,29,706.84,"Yes","No","No","Not Applicable","No reason specified","3",403,199
"22594",30,"M","Village","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",2,405.22,27601.52,18,740.05,"Yes","No","No","Not Applicable","Poor Product Quality","3",453,47
"22595",11,"M","City","Platinum Membership","Yes","","Both","Fiber_Optic",9,490.07,12965.3,15,757.91,"Yes","No","No","Not Applicable","Too many ads","3",474,207
"22597",39,"M","Village","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",2,130.88,19537.67,21,1226.48434988504,"Yes","No","Yes","Unsolved","Too many ads","3",803,34
"22599",19,"F","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",12,33.4,11267.68,9,742.52,"No","Yes","Yes","No Information Available","Too many ads","3",902,267
"22600",23,"F","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",21,323.53,46989.91,6,1012.2376228832,"No","Yes","Yes","Solved","Poor Product Quality","4",206,486
"22601",26,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",22,627.18,14194.65,21,733,"No","Yes","Yes","Unsolved","Poor Product Quality","3",480,505
"22602",41,"M","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",19,32.96,83234.13,8,846.9,"Yes","No","No","Not Applicable","Reasonable Price","1",635,435
"22603",17,"F","Town","Basic Membership","No","Without Offers","Desktop","Mobile_Data",21,34.86,5613.18,6,679.32,"Yes","No","Yes","No Information Available","No reason specified","4",85,502
"22604",39,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",9,434.86,40165.65,18,1006.42036692262,"No","Yes","No","Not Applicable","Poor Website","3",646,206
"22605",40,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",8,233.39,19011.07,11,663.05,"No","Yes","No","Not Applicable","Poor Website","5",969,183
"22606",14,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",8,31.88,38268.46,19,687.9,"Yes","No","Yes","No Information Available","Poor Customer Service","4",762,170
"22607",57,"F","Village","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",16,107.83,6454.09,27,606.79,"Yes","No","Yes","Solved","No reason specified","5",753,378
"22609",47,"F","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",14,75.35,12256.26,18,661.55,"No","Yes","No","Not Applicable","Poor Website","5",312,320
"22611",45,"M","Town","No Membership","No","Without Offers","Desktop","Mobile_Data",15,31.34,30102.57,7,529.23,"Yes","No","No","Not Applicable","Poor Customer Service","5",494,350
"22613",40,"F","Town","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",19,40.96,34138.46,27,627.32,"Yes","No","Yes","Solved","No reason specified","5",724,438
"22614",33,"F","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,275.27,20391.3,29,675.63,"No","Yes","No","Not Applicable","Poor Website","5",599,340
"22616",12,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",14,188.78,8881.53,14,780,"Yes","No","No","Not Applicable","No reason specified","3",1033,316
"22618",38,"F","City","No Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",14,519.66,9654.53,5,1136.20972625645,"Yes","No","Yes","No Information Available","Too many ads","5",183,315
"22620",57,"M","City","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",10,88.42,20763.56,16,1009.43348054316,"Yes","No","No","Not Applicable","Too many ads","5",247,236
"22622",14,"F","Town","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",8,30.55,21068.99,9,753.67,"No","Yes","Yes","No Information Available","Poor Product Quality","3",497,173
"22623",26,"F","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",14,323.87,16214.48,18,669.33,"Yes","No","No","Not Applicable","Poor Customer Service","4",170,331
"22625",48,"M","Village","Gold Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",17,607.41,26524.3,23,745.51,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","3",104,396
"22626",61,"F","Town","Silver Membership","Yes","Without Offers","Both","Mobile_Data",19,214.73,44673.25,48.3304683508316,653.94,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",1041,439
"22629",10,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",2,33.93,99525.63,4,713.95,"Yes","No","Yes","Solved","Reasonable Price","2",466,40
"22633",10,"M","City","Platinum Membership","No","Without Offers","Desktop","Fiber_Optic",24,30.21,31202.7,17,770.05,"No","Yes","Yes","No Information Available","Poor Customer Service","3",690,569
"22636",50,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",6,261,88888.4,4,750.51,"Yes","No","No","Not Applicable","User Friendly Website","2",416,124
"22638",34,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",11,202.1,5877.19,15,730.91,"Yes","No","Yes","Solved in Follow-up","Products always in Stock","2",190,246
"22640",40,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",23,91.75,47311.84,8,631.44,"Yes","No","Yes","Solved","Poor Product Quality","5",674,548
"22645",12,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",13,208.49,15709.23,27,721.84,"Yes","Yes","Yes","Unsolved","Too many ads","3",972,302
"22647",48,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",14,668.28,955.5,7,357.405170176881,"Yes","No","No","Not Applicable","Too many ads","3",126,326
"22648",46,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",6,127.04,22504.78,11,914.072815807057,"No","Yes","No","Not Applicable","Poor Website","5",964,142
"22650",37,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",18,137.48,48961.89,27,544.16,"Yes","No","Yes","Unsolved","Poor Customer Service","5",621,415
"22651",17,"F","Village","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",12,30.32,11227.85,29,793.1,"No","Yes","Yes","Solved in Follow-up","Poor Website","3",187,279
"22652",37,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",23,32.86,12287.38,18,226.490367073421,"Yes","No","Yes","Solved in Follow-up","Too many ads","5",446,543
"22659",23,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",23,390.92,3783.44,7,640.61,"No","Yes","No","Not Applicable","Poor Website","5",90,541
"22661",41,"M","Town","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",11,121.41,17757.17,7,242.238487789523,"No","Yes","No","Not Applicable","Poor Website","4",259,256
"22663",10,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",19,32.6,19304.73,27,649.04,"Yes","No","No","Not Applicable","Poor Website","5",896,446
"22667",41,"M","Village","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",16,130.69,43850.45,17,702.63,"No","Yes","No","Not Applicable","Poor Customer Service","4",97,378
"22669",50,"F","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",10,296.22,33201.28,21,703.26,"No","Yes","Yes","Solved in Follow-up","Too many ads","4",740,226
"22671",48,"M","Town","Platinum Membership","Yes","Without Offers","Desktop","Mobile_Data",21,33.3,9328.74,11,749.01,"No","Yes","No","Not Applicable","No reason specified","3",150,490
"22672",53,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",17,93.2,9873.61,8,631.38,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",56,405
"22679",43,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",20,34.86,55174.18,2,821.17,"No","Yes","Yes","No Information Available","Reasonable Price","1",444,465
"22680",48,"M","Town","Platinum Membership","No","Without Offers","Desktop","Mobile_Data",15,95.64,21323.76,17,799.24,"Yes","No","No","Not Applicable","No reason specified","3",99,352
"22681",57,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",19,73.08,47198.64,14,797.46,"No","Yes","No","Not Applicable","Poor Website","3",1031,449
"22682",48,"F","Village","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",15,957.282468444281,9784,10,680.47,"No","Yes","No","Not Applicable","Poor Customer Service","4",283,360
"22686",38,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",12,119.6,26907.9,18,537.33,"No","Yes","No","Not Applicable","No reason specified","5",652,286
"22687",18,"M","Village","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",3,346.29,33237.86,8,745.83,"Yes","No","No","Not Applicable","Poor Customer Service","3",542,60
"22689",63,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",14,494.81,21696.63,19,551.6,"No","Yes","Yes","No Information Available","Poor Product Quality","5",256,333
"22690",24,"M","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",21,291.3,27913.3,5,550.78,"Yes","No","No","Not Applicable","Too many ads","5",780,484
"22692",54,"M","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",9,193.71,3045.64,28,663.33,"Yes","No","Yes","No Information Available","Poor Customer Service","4",456,195
"22693",13,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",19,30.52,9913.79,23,788.44,"No","Yes","Yes","Solved in Follow-up","Poor Website","3",974,440
"22694",43,"M","Town","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",7,303.74,22003.76,14,542.49,"Yes","No","Yes","No Information Available","Poor Product Quality","5",294,159
"22698",20,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",11,448.41,2093.49,6,682.1,"Yes","No","Yes","Unsolved","Poor Website","4",219,264
"22699",23,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",5,70.61,49569.87,13,437.483073376137,"No","Yes","No","Not Applicable","Reasonable Price","2",285,107
"22700",28,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",16,58.8,79126.37,7,824.99,"No","Yes","Yes","Solved in Follow-up","Products always in Stock","1",574,382
"22701",27,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",18,113.03,33348.8,10,507.65,"Yes","No","Yes","Unsolved","Poor Customer Service","5",1026,415
"22705",32,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",9,110.72,34795.68,15,686.07,"Yes","No","No","Not Applicable","Poor Website","5",28,196
"22706",18,"F","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",11,212.27,40533.09,26,633.47,"Yes","Yes","No","Not Applicable","Poor Customer Service","4",618,263
"22710",44,"F","Town","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",14,172.66,30190.53,10,767.79,"No","Yes","Yes","Solved","Too many ads","3",643,334
"22712",61,"M","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",16,104.83,3626.43,19,771.99,"Yes","No","No","Not Applicable","Poor Product Quality","3",659,377
"22713",63,"F","Village","Silver Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",15,73.05,17721.55,29,607.23,"No","Yes","No","Not Applicable","Poor Product Quality","4",850,357
"22714",45,"M","City","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",15,417.06,44219.06,10,717.39,"Yes","No","No","Not Applicable","No reason specified","4",482,349
"22715",29,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",16,104.36,15227.37,5,602.95,"No","Yes","No","Not Applicable","Poor Customer Service","4",523,364
"22718",49,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",17,385.3,32168.2,22,636.24,"No","Yes","Yes","Solved","Too many ads","4",344,396
"22721",28,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",10,174.27,25696.96,27,709.45,"No","Yes","Yes","No Information Available","Poor Website","4",1093,223
"22723",29,"F","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,1041.9824027792,9184.31,9,1087.25174711844,"Yes","No","Yes","Unsolved","Quality Customer Care","1",499,319
"22726",41,"F","City","Platinum Membership","No","Without Offers","Desktop","Fiber_Optic",14,460.4,6360.18,11,793.811069449225,"Yes","No","Yes","Solved","Too many ads","3",722,320
"22731",49,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",5,95.05,12122.08,28,602.25,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","4",1069,117
"22735",63,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",12,69.54,16586.13,6,790.3,"No","Yes","No","Not Applicable","No reason specified","3",129,281
"22738",60,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",6,32.05,34841.19,38.456230683564,635.91,"Yes","No","Yes","Unsolved","Poor Product Quality","4",436,135
"22742",15,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",15,643.13,42164.72,10,745.2,"Yes","Yes","Yes","Unsolved","Poor Product Quality","3",677,358
"22744",31,"F","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",12,422.44,25908.16,24,621.15,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","5",989,270
"22747",58,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",20,63.47,18602.85,7,676.87,"Yes","No","No","Not Applicable","No reason specified","5",662,463
"22748",18,"F","Village","No Membership","No","Without Offers","Smartphone","Fiber_Optic",13,235.16,37911.39,22,636.02,"No","Yes","No","Not Applicable","No reason specified","5",293,309
"22749",52,"M","City","No Membership","No","Without Offers","Smartphone","Mobile_Data",16,735.61,46904.86,14,632.16,"Yes","No","No","Not Applicable","Too many ads","5",1016,370
"22750",60,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",4,129.28,75056.79,17,755.06,"No","Yes","No","Not Applicable","Products always in Stock","2",783,76
"22751",15,"F","Town","Gold Membership","No","Without Offers","Both","Fiber_Optic",19,416,8255.4,18,225.529808439341,"No","Yes","Yes","Unsolved","Poor Customer Service","4",540,456
"22752",30,"F","Town","No Membership","Yes","Without Offers","Both","Fiber_Optic",3,950.86,34133.2,10,617.98,"Yes","No","No","Not Applicable","Too many ads","5",686,71
"22753",55,"F","City","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",10,152.96,21587.03,11,793.29,"Yes","No","Yes","No Information Available","Too many ads","3",845,227
"22754",27,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",23,113.01,41628.93,29,149.877089020201,"No","Yes","Yes","Solved in Follow-up","Poor Website","4",886,543
"22755",14,"F","Town","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",3,1038.95,27671.28,25,677.98,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","4",723,71
"22756",47,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",17,31.9,1654.36,16,546.83,"No","Yes","Yes","Unsolved","No reason specified","5",1021,388
"22757",13,"M","Town","Premium Membership","No","Without Offers","Desktop","Mobile_Data",21,217.17,49870.31,21,782.31,"Yes","No","Yes","No Information Available","No reason specified","3",536,499
"22758",21,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",17,53.38,45787.94,22,626.78,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","5",256,404
"22760",19,"M","Village","No Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",3,476.29,32274.5,17,624.48,"No","Yes","No","Not Applicable","Poor Customer Service","5",91,55
"22761",15,"F","Village","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",11,32.19,40050.19,56.0465861117303,370.708093628421,"No","Yes","Yes","Unsolved","Products always in Stock","2",1003,248
"22763",49,"M","City","No Membership","No","Without Offers","Both","Fiber_Optic",18,252.72,22957.39,19,659.4,"Yes","No","No","Not Applicable","Poor Website","4",946,427
"22764",16,"M","Town","Platinum Membership","No","Without Offers","Desktop","Wi-Fi",15,94.2,851.83,15,706.39,"No","Yes","Yes","Unsolved","Too many ads","3",1000,342
"22766",47,"F","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",18,31.87,3572.06,15,528.46,"Yes","No","Yes","No Information Available","Poor Customer Service","5",903,432
"22768",54,"F","Town","No Membership","No","Without Offers","Desktop","Mobile_Data",10,94.73,15071.28,6,610.27,"No","Yes","Yes","Solved in Follow-up","No reason specified","4",1074,236
"22771",36,"F","City","Platinum Membership","No","Without Offers","Smartphone","Mobile_Data",17,31.88,43083.53,29,724.04,"Yes","No","Yes","No Information Available","Poor Customer Service","3",261,407
"22774",29,"M","Town","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",11,32.75,21578.86,25,763.35,"No","Yes","Yes","Unsolved","Too many ads","3",428,255
"22777",10,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",18,173.67,85957.04,17,773.98,"No","Yes","No","Not Applicable","Reasonable Price","2",764,419
"22781",10,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",1,277.41,61226.56,1,790.74,"Yes","Yes","Yes","Unsolved","Products always in Stock","1",959,10
"22784",17,"M","Town","Silver Membership","No","Without Offers","Desktop","Wi-Fi",17,316.43,24412.27,7,793.78,"No","Yes","No","Not Applicable","Poor Website","3",702,401
"22788",25,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",10,477.69,23824.63,15,675.71,"No","Yes","No","Not Applicable","Too many ads","4",450,232
"22789",27,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",8,47.08,21001.86,9,516.92,"No","Yes","Yes","Unsolved","Poor Website","5",200,182
"22791",64,"M","City","Gold Membership","No","Without Offers","Desktop","Mobile_Data",20,129.4,84684.36,13,705.43,"Yes","No","No","Not Applicable","Quality Customer Care","2",486,458
"22793",59,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",17,431.77,32682.66,13,718.28,"Yes","Yes","Yes","Solved in Follow-up","Reasonable Price","2",946,402
"22796",40,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",9,380.54,35761.2,19,696.11,"No","Yes","No","Not Applicable","Too many ads","5",224,201
"22797",46,"M","Village","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,64.4,24606.22,10,771.4,"No","Yes","No","Not Applicable","Poor Customer Service","3",252,318
"22798",16,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",9,903.695456458682,46280.35,10,620.57,"No","Yes","Yes","No Information Available","Poor Product Quality","4",413,196
"22805",11,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",12,33.08,24935.68,15,893.380317678679,"No","Yes","No","Not Applicable","Poor Website","5",473,270
"22807",27,"F","Town","No Membership","No","Without Offers","Smartphone","Fiber_Optic",18,104.84,33145.93,16,646.12,"No","Yes","Yes","Unsolved","Poor Product Quality","4",116,431
"22808",17,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",10,1135.74,24364.4,15,722.39,"No","Yes","No","Not Applicable","Poor Customer Service","3",751,227
"22809",47,"F","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",4,653.31,1348.59,3,773.38,"Yes","Yes","No","Not Applicable","Products always in Stock","1",718,73
"22812",48,"F","Village","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",18,32.32,42282.38,16,708.33,"Yes","No","No","Not Applicable","Too many ads","3",960,415
"22813",46,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",12,341.76,25410.84,18,658.26,"Yes","No","Yes","Solved in Follow-up","Poor Website","4",585,272
"22815",10,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",14,160.38,70609.59,6,732.24,"No","Yes","Yes","No Information Available","User Friendly Website","2",428,317
"22816",18,"M","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",14,33.49,11336.82,20,620.23,"No","Yes","No","Not Applicable","Poor Customer Service","4",854,328
"22818",56,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",10,183.07,23082.83,10,680.82,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","5",665,232
"22823",13,"M","Town","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,245.29,34016.27,14,724.98,"No","Yes","No","Not Applicable","Products always in Stock","2",475,326
"22825",56,"M","Town","Gold Membership","Yes","Without Offers","Both","Wi-Fi",14,205.95,26208.54,17,652.16,"No","Yes","No","Not Applicable","Poor Website","4",311,335
"22827",22,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",12,30.37,19658.38,21,574.56,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","5",419,272
"22829",29,"M","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",11,455.45,42755.89,22,64.145996775111,"No","Yes","No","Not Applicable","Too many ads","5",828,246
"22831",15,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",12,79.87,12309.12,12,638.26,"No","Yes","No","Not Applicable","Poor Product Quality","4",595,284
"22833",20,"F","City","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",7,83.17,32822.77,10,660.91,"Yes","No","No","Not Applicable","No reason specified","4",993,162
"22835",42,"M","Village","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",18,129.27,29269.63,24,586.61,"No","Yes","Yes","Unsolved","Poor Product Quality","5",313,411
"22840",30,"M","Town","Gold Membership","Yes","Without Offers","Desktop","Mobile_Data",10,847.591762730299,5224.63,13,295.574669841236,"Yes","No","Yes","No Information Available","Too many ads","4",725,230
"22844",53,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",2,121.95,40024.37,13,171.370049599854,"Yes","No","Yes","Unsolved","Poor Website","4",178,39
"22845",60,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",23,290.34,10047.54,13,995.302024705474,"Yes","Yes","Yes","Solved","Poor Customer Service","4",184,532
