age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,join_date,Days_from,time_from_last_visit,churn_risk_score
54,F,Town,Platinum Membership,No,Without Offers,Smartphone,Fiber_Optic,9,177.83,23913.49,7,1204.717073,Yes,No,No,Not Applicable,User Friendly Website,2015-03-04,1033,193,1
23,M,City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,112.09,18981.3,28,962.2245321,Yes,No,Yes,Unsolved,Too many ads,2016-11-05,421,278,3
17,M,City,Silver Membership,Yes,Without Offers,Smartphone,Fiber_Optic,24,172.23,11113.84,25,715.6,Yes,No,No,Not Applicable,Poor Website,2016-01-29,702,565,2
56,M,City,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,11,33.8,48349.42,22,313.0205844,Yes,No,No,Not Applicable,Poor Product Quality,2015-09-06,847,264,2
33,M,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,14,336.33,5198.9,2,731.86,No,Yes,Yes,Unsolved,User Friendly Website,2016-05-13,597,322,1
23,F,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16,118.14,29911.51,9,144.3921404,No,Yes,No,Not Applicable,Poor Website,2016-06-11,568,361,3
33,F,City,No Membership,No,Without Offers,Desktop,Fiber_Optic,12,197.74,28045.81,27,521.57,No,Yes,Yes,No Information Available,Poor Website,2015-05-21,955,267,3
55,F,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,6,171.74,3155.54,17,147.4335602,Yes,No,Yes,Unsolved,Quality Customer Care,2017-06-17,197,137,1
52,M,City,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,23,72.83,13734.16,25,715.33,Yes,No,No,Not Applicable,Poor Product Quality,2016-08-31,487,546,3
53,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,9,156.71,47037.68,13,715.97,Yes,No,No,Not Applicable,No reason specified,2017-02-21,313,213,2
46,F,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,4,333.61,48622.41,9,619.6,Yes,No,No,Not Applicable,Too many ads,2015-05-28,948,73,3
31,F,City,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,10,83.07,21106.61,9,623.28,Yes,No,No,Not Applicable,Too many ads,2015-12-02,760,232,3
46,M,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,5,362.46,13891.79,6,658.65,Yes,No,No,Not Applicable,Poor Product Quality,2015-09-06,847,99,3
64,F,Town,Basic Membership,No,Without Offers,Desktop,Wi-Fi,10,152.76,15862.45,22,625.33,Yes,No,No,Not Applicable,Poor Website,2016-08-17,501,219,3
47,M,City,Premium Membership,No,Gift Vouchers/Coupons,Both,Mobile_Data,12,326.52,7172.61,13,747.88,No,Yes,No,Not Applicable,Poor Product Quality,2017-11-02,59,283,2
48,M,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14,138,7955.37,20,773.3,No,Yes,No,Not Applicable,Poor Product Quality,2016-07-01,548,327,2
48,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,18,30.17,22842.61,22,694.3997247,No,Yes,No,Not Applicable,Poor Product Quality,2015-08-16,868,417,3
59,F,Town,Basic Membership,Yes,Without Offers,Smartphone,Mobile_Data,20,176.09,4991.05,23,580.78,No,Yes,Yes,Solved,Too many ads,2016-11-18,408,480,3
39,M,Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,169.27,15856.21,18,551.26,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2015-06-05,940,203,3
21,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,49.96,32155.12,14,605.52,No,Yes,No,Not Applicable,Poor Customer Service,2015-11-08,784,411,3
36,F,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,14,389.8,43074.73,24,711.1,Yes,No,No,Not Applicable,Poor Customer Service,2017-03-03,303,327,3
59,F,Town,Premium Membership,No,Gift Vouchers/Coupons,Both,Mobile_Data,7,416.45,17548.11,24,766.64,No,Yes,Yes,Solved,Poor Website,2017-02-20,314,158,2
31,M,Village,Gold Membership,Yes,Without Offers,Both,Fiber_Optic,3,404.99,81882.84,1,795.94,Yes,Yes,Yes,No Information Available,Quality Customer Care,2016-07-15,534,56,1
15,F,Town,Silver Membership,Yes,Without Offers,Smartphone,Mobile_Data,12,74.4,44197.19,12,644.94,Yes,No,Yes,No Information Available,Poor Website,2017-03-19,287,276,3
28,M,City,Basic Membership,No,Without Offers,Desktop,Fiber_Optic,15,216.89,40716.55,8,652.13,Yes,No,No,Not Applicable,Poor Website,2017-11-10,51,344,3
47,F,City,Platinum Membership,No,Without Offers,Desktop,Mobile_Data,3,49.74,11865.64,22,786.63,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2016-02-25,675,68,2
21,M,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,2,182.04,30119.04,20,534.02,Yes,No,No,Not Applicable,No reason specified,2016-08-15,503,38,3
51,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,2,81.62,49066.4,10,743.62,No,Yes,Yes,Solved,Poor Customer Service,2015-04-10,996,43,2
37,M,Village,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,19,1108.945611,42440.94,18,632.28,Yes,No,No,Not Applicable,Poor Product Quality,2016-11-03,423,441,3
35,M,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,197.79,10778.26,25,682.5,Yes,No,Yes,No Information Available,Too many ads,2016-03-13,658,349,3
44,F,Town,Gold Membership,Yes,Without Offers,Smartphone,Wi-Fi,11,126.05,7768.7,6,729.66,No,Yes,No,Not Applicable,No reason specified,2017-02-09,325,255,2
24,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Both,Mobile_Data,2,490.45,35861.63,10,606.14,No,Yes,Yes,Solved,Too many ads,2016-01-01,730,35,3
52,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13,396.4,1373.37,18,701.25,No,Yes,Yes,Solved,Poor Product Quality,2016-12-07,389,290,3
30,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15,49.16,8740.15,13,619.02,No,Yes,No,Not Applicable,Too many ads,2016-07-04,545,349,3
40,M,City,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,90.79,39261.21,19,775.73,No,Yes,No,Not Applicable,User Friendly Website,2015-06-05,940,73,1
15,F,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,2,552.73,17001.41,17,752.87,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2016-01-14,717,47,2
26,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Both,Mobile_Data,20,303.14,40036.88,23,914.7064836,No,Yes,Yes,Solved in Follow-up,Too many ads,2015-06-15,930,472,3
50,F,Village,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,14,349.2,42924.6,13,709.33,No,Yes,No,Not Applicable,Quality Customer Care,2017-03-17,289,326,1
60,F,Village,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,9,1487.21,57195.41,9,734.83,Yes,Yes,Yes,No Information Available,Products always in Stock,2017-10-18,74,195,1
62,M,Village,Platinum Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,5,215.14,15515.22,19,755.36,Yes,Yes,No,Not Applicable,Poor Website,2017-04-14,261,109,2
37,M,City,No Membership,Yes,Credit/Debit Card Offers,Both,Wi-Fi,7,217.7,29408.59,39.9543901,659.42,Yes,Yes,No,Not Applicable,Poor Product Quality,2017-07-23,161,162,3
49,F,City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,3,32.04,834.11,13,911.9457756,No,Yes,No,Not Applicable,No reason specified,2015-03-03,1034,70,3
29,M,City,Premium Membership,No,Without Offers,Smartphone,Mobile_Data,24,354.03,45820.58,9,777.14,Yes,Yes,No,Not Applicable,Poor Product Quality,2015-10-16,807,572,2
29,M,City,Premium Membership,No,Without Offers,Desktop,Wi-Fi,10,173.15,36751.28,22,776.73,No,Yes,Yes,Solved,Too many ads,2015-09-25,828,235,2
25,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,13,56.79,42276.13,9,753.35,Yes,No,Yes,Unsolved,Too many ads,2016-05-18,592,300,2
60,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,17,488.98,6655.83,6,404.3232359,Yes,No,No,Not Applicable,Poor Website,2016-07-10,539,406,3
59,M,Town,Silver Membership,No,Without Offers,Desktop,Mobile_Data,18,160.98,15583.31,5,665.38,No,Yes,No,Not Applicable,Poor Website,2016-09-23,464,432,3
48,M,Town,Platinum Membership,No,Without Offers,Desktop,Fiber_Optic,22,85.02,22690.99,48.6096123,776.81,Yes,No,No,Not Applicable,Poor Product Quality,2016-01-11,720,514,2
43,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,11,42.9,32889.31,5,502.77,Yes,No,No,Not Applicable,Poor Customer Service,2017-08-01,152,248,3
12,M,City,Basic Membership,No,Without Offers,Desktop,Wi-Fi,12,140.6,43172.47,26,573.67,Yes,No,No,Not Applicable,Poor Customer Service,2015-02-06,1059,265,3
32,F,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,6,50.63,23755.26,21,689.79,No,Yes,No,Not Applicable,Too many ads,2015-10-09,814,124,3
38,F,City,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,3,94.86,39271.1,29,94.1652124,No,Yes,Yes,Solved,No reason specified,2015-02-07,1058,62,3
52,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11,107.96,9525.28,9,723.59,No,Yes,No,Not Applicable,Poor Customer Service,2015-02-13,1052,241,2
59,M,City,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,14,98.75,44463.3,15,1112.216905,No,Yes,No,Not Applicable,Poor Website,2016-07-22,527,313,2
53,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,23,260.49,34636.78,16,845.51,Yes,Yes,No,Not Applicable,User Friendly Website,2015-07-10,905,544,1
11,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,16,33.34,19559.29,6,622.13,Yes,No,Yes,Unsolved,Poor Product Quality,2017-05-22,223,377,3
31,F,Town,Silver Membership,Yes,Without Offers,Smartphone,Mobile_Data,8,182.84,5866.85,28,619.61,No,Yes,Yes,No Information Available,Poor Customer Service,2015-05-01,975,169,3
36,F,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,16,293.03,46648.83,12,671.33,Yes,No,Yes,Unsolved,No reason specified,2016-03-25,646,376,3
18,F,Town,Premium Membership,Yes,Without Offers,Smartphone,Mobile_Data,9,401.11,61048.95,9,787.61,Yes,Yes,No,Not Applicable,User Friendly Website,2016-05-29,581,210,1
31,F,Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,1324.589395,49080.14,13,706.24,Yes,No,Yes,No Information Available,Poor Customer Service,2015-03-21,1016,340,3
25,F,City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,19,44.55,17098.07,6,754.92,Yes,No,Yes,Solved,Too many ads,2016-04-02,638,434,2
46,F,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13,181.67,62076.09,13,773.16,Yes,No,No,Not Applicable,Quality Customer Care,2017-10-12,80,303,1
19,F,Village,Basic Membership,Yes,,Smartphone,Wi-Fi,15,226.89,43787.93,26,624.51,No,Yes,Yes,Solved,Poor Customer Service,2016-12-28,368,351,3
59,F,City,Silver Membership,Yes,Without Offers,Smartphone,Fiber_Optic,3,2414.181054,25548.72,9,773.43,No,Yes,No,Not Applicable,Poor Website,2015-03-29,1008,51,2
39,F,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15,1314.463145,34359,18,774.62,Yes,Yes,Yes,Solved,Poor Website,2016-06-14,565,337,2
54,F,City,No Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,15,31.52,28742.86,5,575.65,Yes,No,No,Not Applicable,Poor Customer Service,2015-01-29,1067,348,3
55,F,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,5,39.12,2224.16,10,759.65,No,Yes,No,Not Applicable,No reason specified,2015-06-17,928,119,2
13,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,4,328.49,12290.49,16,292.1076463,Yes,No,Yes,Solved,Too many ads,2017-12-17,14,92,2
14,M,City,No Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,16,479.37,18800.32,17,617.88,Yes,No,No,Not Applicable,Poor Customer Service,2016-05-26,584,372,3
58,M,Village,No Membership,No,Without Offers,Desktop,Mobile_Data,8,68.91,13633.26,5,652.61,Yes,No,Yes,Solved in Follow-up,Poor Website,2017-05-22,223,178,3
51,M,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,6,568.86,16883.47,10,834.26,Yes,No,Yes,Solved in Follow-up,Quality Customer Care,2016-04-23,617,139,1
33,F,City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,22,155.27,20638.7,11,594.39,No,Yes,Yes,Solved,No reason specified,2016-02-20,680,514,3
26,M,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,7,31.99,47576.77,12,885.174534,No,Yes,No,Not Applicable,Too many ads,2017-04-04,271,148,3
44,M,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,4,30.92,36144.39,27,237.7814398,Yes,No,No,Not Applicable,Poor Website,2017-07-21,163,92,3
43,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20,97.35,28380.68,26,720.09,Yes,No,No,Not Applicable,Poor Website,2015-10-09,814,460,2
34,M,Town,No Membership,No,Without Offers,Desktop,Wi-Fi,15,661.17,35998.83,19,714.88,Yes,Yes,No,Not Applicable,Poor Product Quality,2016-06-27,552,359,3
18,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12,133.15,6886.78,7,856.55505,Yes,No,Yes,Unsolved,Poor Customer Service,2015-11-17,775,274,3
40,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9,156.51,13038.07,26,985.0075616,No,Yes,No,Not Applicable,Poor Customer Service,2016-06-08,571,216,3
21,M,Village,Basic Membership,No,Credit/Debit Card Offers,Both,Mobile_Data,3,451.35,14954.47,12,634.84,Yes,No,Yes,Unsolved,Too many ads,2017-12-08,23,54,3
32,F,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,109.71,27066.17,26,571.5,Yes,No,No,Not Applicable,Too many ads,2017-06-23,191,282,3
24,M,City,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,20,51.31,7870.01,15,620.69,No,Yes,No,Not Applicable,No reason specified,2016-01-22,709,475,3
14,F,Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,5,84.08,15014.56,19,722.34,No,Yes,Yes,Solved,No reason specified,2016-02-03,697,103,2
17,F,City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,34.31,31280.07,29,641.06,Yes,No,No,Not Applicable,Poor Product Quality,2016-05-03,607,275,3
13,F,Village,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,15,147.59,28610.13,6,945.9957056,Yes,No,No,Not Applicable,Poor Customer Service,2017-08-11,142,349,3
53,M,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,16,216.26,38901.78,24,702.25,No,Yes,No,Not Applicable,Poor Website,2015-12-05,757,366,3
17,M,Village,No Membership,No,Without Offers,Both,Mobile_Data,8,426.26,32146.62,20,629.26,Yes,No,Yes,Unsolved,Poor Customer Service,2016-08-21,497,185,3
15,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,1250.178394,66655.68,19,701.06,Yes,No,No,Not Applicable,Products always in Stock,2015-09-17,836,274,1
34,M,Village,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,13,74.06,14322.53,13,965.0261551,No,Yes,Yes,Unsolved,Poor Customer Service,2016-02-17,683,302,3
19,M,City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,103.69,15732.1,8,518.51,No,Yes,No,Not Applicable,Poor Product Quality,2016-01-24,707,260,3
26,F,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,6,565.58,27896.9,11,774.67,Yes,No,Yes,No Information Available,No reason specified,2017-03-03,303,138,2
58,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,31.16,15517.44,9,520.75,Yes,No,Yes,Unsolved,No reason specified,2017-04-03,272,359,3
41,F,City,Gold Membership,Yes,Without Offers,Smartphone,Fiber_Optic,15,1041.622433,9797.84,14,744.75,Yes,No,No,Not Applicable,Poor Customer Service,2017-10-25,67,346,2
25,M,Village,Basic Membership,Yes,Without Offers,Smartphone,Wi-Fi,12,606.89,37238.66,25,535.29,No,Yes,Yes,Solved in Follow-up,No reason specified,2017-01-23,342,270,3
16,M,City,No Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,8,222.79,47504.56,23,670.58,Yes,No,No,Not Applicable,Poor Customer Service,2016-09-24,463,171,3
25,M,Town,Silver Membership,No,Without Offers,Desktop,Mobile_Data,17,33.84,20517.9,16,668.99,No,Yes,Yes,No Information Available,Too many ads,2016-03-08,663,399,3
32,F,City,Basic Membership,No,Without Offers,Desktop,Wi-Fi,18,461.53,32906.98,17,940.9037129,No,Yes,No,Not Applicable,Too many ads,2017-01-22,343,415,3
47,F,Town,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,436.85,72693.17,3,845.31,No,Yes,Yes,Unsolved,Quality Customer Care,2017-02-03,331,342,1
56,M,Village,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,18,1281.360955,48572.7,6,683.17,No,Yes,Yes,Unsolved,Poor Website,2017-06-30,184,432,3
22,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,4,137.22,39581.95,8,775.29,No,Yes,Yes,Solved in Follow-up,Reasonable Price,2017-01-20,345,79,1
24,M,City,No Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11,261.38,17950.4,24,626.95,No,Yes,Yes,Solved,Poor Product Quality,2015-03-23,1014,242,3
39,M,Town,No Membership,Yes,Without Offers,Smartphone,Wi-Fi,9,613.74,28870.1,6,600.89,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,2015-07-20,895,216,3
16,M,Village,No Membership,Yes,Without Offers,Smartphone,Wi-Fi,22,1818.576863,23978.24,6,560.15,No,Yes,No,Not Applicable,Poor Website,2015-11-21,771,511,3
23,F,City,No Membership,No,Without Offers,Smartphone,Fiber_Optic,4,183.63,9940.74,43.3538644,87.32979939,No,Yes,Yes,Solved,Too many ads,2015-10-17,806,90,3
58,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14,31.63,24529.84,17,613.48,No,Yes,Yes,Solved,Poor Website,2015-11-17,775,321,3
32,F,Village,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,20,234.01,16688.94,5,809.74,Yes,Yes,Yes,Solved in Follow-up,Products always in Stock,2017-05-27,218,457,1
56,M,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,1,34.1,41721.45,28,1245.699082,No,Yes,Yes,Unsolved,Poor Customer Service,2015-02-24,1041,5,2
51,M,Town,No Membership,Yes,Without Offers,Smartphone,Wi-Fi,10,127.54,13882.84,20,629.87,No,Yes,No,Not Applicable,Too many ads,2016-02-24,676,233,3
13,M,Town,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,14,183.92,40498.5,13,720.44,No,Yes,No,Not Applicable,Too many ads,2017-08-18,135,319,2
40,F,City,Gold Membership,Yes,Without Offers,Desktop,Mobile_Data,11,116.23,31636.26,24,737.23,No,Yes,Yes,Unsolved,Too many ads,2015-04-17,989,264,2
50,M,City,Gold Membership,No,Without Offers,Desktop,Wi-Fi,23,332.21,17490.38,7,702.1,Yes,No,Yes,No Information Available,Poor Website,2016-10-19,438,529,3
58,F,City,No Membership,Yes,Without Offers,Both,Mobile_Data,15,1215.19,10377.03,6,713.43,No,Yes,No,Not Applicable,Poor Product Quality,2017-03-12,294,349,3
59,F,Town,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,21,866.38,44558.99,12,760.74,No,Yes,Yes,Unsolved,Poor Product Quality,2016-07-09,540,486,2
49,F,Village,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,418.54,47575.41,12,637.43,No,Yes,Yes,Unsolved,Poor Product Quality,2017-01-20,345,376,3
20,M,City,No Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,14,104.43,1909.95,15,500.15,Yes,No,Yes,Unsolved,Poor Website,2017-04-07,268,325,3
26,M,City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,404.06,28297.61,53.15301711,1105.004395,Yes,Yes,Yes,Solved,Too many ads,2015-08-23,861,246,3
24,M,Village,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,9,55.93,36250.4,27,615.51,No,Yes,No,Not Applicable,No reason specified,2016-02-24,676,194,3
36,F,City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13,499.42,15689.82,4.239900909,777.75,No,Yes,Yes,No Information Available,Too many ads,2017-06-21,193,312,2
10,F,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19,164.17,2464.62,11,694.18,No,Yes,No,Not Applicable,Poor Customer Service,2017-04-06,269,446,3
46,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2,117.21,18250.66,7,720.45,Yes,No,Yes,No Information Available,Poor Product Quality,2017-07-09,175,45,2
40,M,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,13,246.18,23331.14,29,633.71,Yes,Yes,Yes,Solved,Too many ads,2015-11-22,770,301,3
39,F,City,Basic Membership,No,Without Offers,Desktop,Wi-Fi,4,180.95,49918.33,5,541.78,Yes,No,No,Not Applicable,Poor Product Quality,2016-12-17,379,90,3
27,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,12,252.18,97467.09,4,721.61,No,Yes,Yes,Solved,Reasonable Price,2017-04-16,259,267,1
13,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,13,487.97,9010.14,12,699.14,Yes,No,Yes,Solved,No reason specified,2015-09-28,825,301,3
14,M,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,12,125.77,37271.41,10,1050.716221,No,Yes,Yes,Solved,Products always in Stock,2015-04-09,997,271,1
18,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,257.93,21537.54,17,765.16,Yes,No,No,Not Applicable,User Friendly Website,2016-01-28,703,214,1
30,F,Town,Platinum Membership,Yes,,Both,Mobile_Data,20,243.42,30128.85,6,737.44,Yes,Yes,Yes,Unsolved,No reason specified,2016-08-23,495,460,2
51,M,Town,Premium Membership,No,Without Offers,Smartphone,Fiber_Optic,20,216.59,10179.39,20,777.91,Yes,No,No,Not Applicable,No reason specified,2016-05-26,584,476,2
20,F,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8,368.95,18657.24,15,783.42,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,2016-03-04,667,192,2
48,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17,201.44,16315.99,21,642.14,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2015-09-07,846,390,3
34,M,Town,Basic Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,17,210.07,17031.3,31.48239211,626.94,Yes,No,Yes,Unsolved,Too many ads,2016-11-15,411,391,3
30,F,Town,Basic Membership,Yes,Without Offers,Smartphone,Mobile_Data,14,1109.79,34589.41,13,519.47,Yes,Yes,No,Not Applicable,Poor Website,2015-10-07,816,326,3
14,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,198.34,5246.29,17,790.92,Yes,No,No,Not Applicable,Poor Website,2015-07-04,911,209,2
33,M,Town,Premium Membership,No,Without Offers,Desktop,Wi-Fi,1,422.69,5432.49,10,1090.879155,No,Yes,No,Not Applicable,Poor Product Quality,2015-06-21,924,24,2
18,F,City,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,14,60.4,94179.94,5,742.16,No,Yes,Yes,Solved,User Friendly Website,2015-03-21,1016,315,1
36,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,292.25,15194.39,10,678.17,Yes,No,Yes,No Information Available,Too many ads,2016-09-02,485,329,3
12,M,Town,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,479.18,34759.57,16,762.1,Yes,No,Yes,No Information Available,User Friendly Website,2015-03-27,1010,147,1
11,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20,45.66,32814.81,14,357.7664775,Yes,No,No,Not Applicable,Poor Website,2015-11-25,767,467,2
18,M,Village,Gold Membership,Yes,Without Offers,Smartphone,Mobile_Data,10,81.46,20124.9,27,627.16,Yes,No,Yes,Solved in Follow-up,No reason specified,2017-05-06,239,225,3
16,F,Village,Basic Membership,Yes,,Smartphone,Mobile_Data,15,94.86,32054.85,15,698.61,No,Yes,No,Not Applicable,Poor Customer Service,2017-07-27,157,352,3
25,M,Town,Platinum Membership,No,Without Offers,Smartphone,Mobile_Data,9,286.1,86986.8,15,823.71,No,Yes,No,Not Applicable,Quality Customer Care,2016-11-15,411,206,1
53,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,95.27,43402.89,3,848.7,Yes,No,No,Not Applicable,Reasonable Price,2017-04-05,270,210,1
51,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,15,217.54,8137.7,14,719.3,Yes,No,No,Not Applicable,Poor Website,2015-01-02,1094,338,2
63,F,Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,9,30.22,10972.17,9,809.48,Yes,No,No,Not Applicable,Quality Customer Care,2017-02-23,311,216,1
60,F,Village,Silver Membership,No,Without Offers,Both,Fiber_Optic,7,208.24,18259.91,18,797.81,Yes,No,No,Not Applicable,No reason specified,2016-03-16,655,165,2
48,M,City,Premium Membership,No,Gift Vouchers/Coupons,Both,Mobile_Data,17,430.74,20592.22,27,726.31,No,Yes,No,Not Applicable,Poor Product Quality,2017-12-10,21,386,2
21,M,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,32.57,14412.8,10,793.03,Yes,No,Yes,Unsolved,Too many ads,2015-02-26,1039,300,2
